provider_id,provider_state,drg_definition,drg_category,total_discharges,average_covered_charges,average_total_payments,average_medicare_payments,cost_to_charge_ratio
Provider_0088,OH,PANCREATIC DISORDERS,Digestive,168,12714.37,3837.74,3159.99,0.3018
Provider_0192,CO,TRANSIENT ISCHEMIA,Neurological,136,15003.08,5717.37,5378.81,0.3811
Provider_0170,OK,PERCUTANEOUS CARDIOVASCULAR PROC,Cardiovascular,123,13196.29,3737.57,3284.26,0.2832
Provider_0131,OK,RADIATION THERAPY,Oncology,83,21281.44,6553.71,5748.49,0.308
Provider_0265,PA,STROKE,Neurological,81,13460.62,5544.54,4904.11,0.4119
Provider_0035,KY,PERCUTANEOUS CARDIOVASCULAR PROC,Cardiovascular,43,17448.06,6375.51,5897.22,0.3654
Provider_0191,AZ,CHRONIC OBSTRUCTIVE PULMONARY,Respiratory,140,8890.85,3136.78,2766.66,0.3528
Provider_0215,MO,GI HEMORRHAGE,Digestive,70,12823.69,4896.32,4156.88,0.3818
Provider_0252,OK,CARDIAC CATHETERIZATION,Cardiovascular,69,14628.17,5793.1,4944.48,0.396
Provider_0129,OK,MAJOR JOINT REPLACEMENT - LOWER EXTREMITY,Orthopedic,52,21860.87,6168.9,5326.91,0.2822
Provider_0261,VA,RESPIRATORY INFECTIONS,Respiratory,212,10370.43,3962.14,3628.09,0.3821
Provider_0062,MI,SIMPLE PNEUMONIA & PLEURISY,Respiratory,305,10534.17,3612.41,2941.63,0.3429
Provider_0131,AL,TRANSIENT ISCHEMIA,Neurological,131,14796.69,5121.28,4188.9,0.3461
Provider_0042,CA,PANCREATIC DISORDERS,Digestive,186,16569.82,5852.17,5057.04,0.3532
Provider_0237,OK,HEART FAILURE & SHOCK,Cardiovascular,55,15913.44,6477.71,5424.4,0.4071
Provider_0170,MA,INFLAMMATORY BOWEL DISEASE,Digestive,353,16529.81,6236.2,5812.57,0.3773
Provider_0128,WA,SIMPLE PNEUMONIA & PLEURISY,Respiratory,256,12217.88,3740.14,3492.85,0.3061
Provider_0116,KY,HEART FAILURE & SHOCK,Cardiovascular,55,14234.06,4439.76,3836.25,0.3119
Provider_0234,WA,KIDNEY TRANSPLANT,Renal,31,13687.49,4761.55,4303.8,0.3479
Provider_0052,VA,CORONARY BYPASS,Cardiovascular,56,19496.8,7378.03,6304.86,0.3784
Provider_0002,VA,CHRONIC OBSTRUCTIVE PULMONARY,Respiratory,159,8522.3,3576.67,3004.46,0.4197
Provider_0172,TX,HIP & FEMUR PROCEDURES,Orthopedic,49,35971.11,11278.33,9267.79,0.3135
Provider_0294,KY,BREAST PROCEDURES,Oncology,117,17197.09,5705.16,4771.36,0.3318
Provider_0124,AL,SPINAL FUSION,Orthopedic,130,24693.0,7226.17,6686.35,0.2926
Provider_0147,OR,CARDIAC CATHETERIZATION,Cardiovascular,244,19088.9,5933.47,5379.72,0.3108
Provider_0267,WI,TRANSIENT ISCHEMIA,Neurological,348,14540.51,5125.31,4744.28,0.3525
Provider_0112,OK,GI HEMORRHAGE,Digestive,320,11940.95,3774.68,3393.42,0.3161
Provider_0009,LA,MAJOR JOINT REPLACEMENT - LOWER EXTREMITY,Orthopedic,43,21499.79,8720.54,8154.25,0.4056
Provider_0116,NC,PULMONARY EDEMA,Respiratory,235,9623.1,3239.44,3022.93,0.3366
Provider_0099,NJ,BREAST PROCEDURES,Oncology,284,29912.96,8414.15,6859.39,0.2813
Provider_0068,LA,CARDIAC ARRHYTHMIA,Cardiovascular,89,15768.81,6610.67,5462.98,0.4192
Provider_0033,CA,KNEE PROCEDURES,Orthopedic,174,40724.64,16244.7,14598.17,0.3989
Provider_0051,TN,CORONARY BYPASS,Cardiovascular,131,15190.12,5507.66,5214.84,0.3626
